Iteration, Objective function, Best objective function, Parameters, Time elapsed (s)
279 2645.979 1418.252 [4.583 0.010 0.534 1.249 0.000 0.010] 8139.849350 
280 1469.035 1418.252 [39.792 0.050 1.335 0.550 0.004 0.062] 8202.314493 
281 1632.843 1418.252 [14.629 0.062 0.770 0.909 0.003 0.053] 8273.033406 
282 4274.280 1418.252 [4.722 0.010 0.043 0.972 0.000 0.002] 8332.022750 
283 1438.699 1418.252 [53.488 0.037 3.509 0.526 0.001 0.071] 8396.784868 
284 1875.268 1418.252 [12.555 0.010 3.066 1.020 0.001 0.022] 8457.946456 
285 1949.803 1418.252 [13.124 0.010 6.645 0.273 0.000 0.019] 8522.575281 
286 11492.495 1418.252 [2.402 0.010 2.391 0.010 0.000 0.001] 8582.711352 
287 1496.204 1418.252 [22.150 0.021 4.187 0.483 0.000 0.042] 8657.669208 
288 1492.052 1418.252 [21.434 0.024 3.510 0.542 0.000 0.043] 8715.907779 
289 1826.569 1418.252 [23.258 0.010 5.693 0.698 0.000 0.030] 8773.037215 
290 1432.832 1418.252 [36.878 0.026 6.331 0.276 0.000 0.051] 8836.230505 
291 1508.082 1418.252 [100.000 0.030 6.503 0.363 0.000 0.074] 8919.996357 
292 1442.656 1418.252 [41.263 0.037 2.421 0.748 0.000 0.066] 8989.241706 
293 1568.414 1418.252 [6.171 0.269 0.301 1.288 0.004 0.105] 9057.315685 
294 1435.018 1418.252 [58.104 0.033 4.173 0.374 0.000 0.057] 9125.939672 
295 1444.601 1418.252 [100.000 0.032 6.107 0.276 0.000 0.057] 9191.384316 
296 1478.112 1418.252 [24.517 0.033 1.924 0.732 0.001 0.065] 9248.772384 
297 1443.058 1418.252 [100.000 0.041 4.272 0.206 0.004 0.068] 9323.496683 
298 1448.350 1418.252 [100.000 0.040 3.130 0.343 0.003 0.069] 9391.644955 
299 1557.459 1418.252 [100.000 0.067 3.075 0.177 0.006 0.094] 9459.851863 
300 1451.041 1418.252 [46.562 0.051 3.201 0.261 0.003 0.073] 9535.764062 
301 1507.866 1418.252 [100.000 0.033 2.505 0.135 0.011 0.047] 9615.568546 
302 1565.659 1418.252 [100.000 0.045 2.840 0.204 0.007 0.054] 9690.582513 
303 1555.904 1418.252 [100.000 0.034 6.151 0.047 0.005 0.075] 9751.410943 
304 1732.908 1418.252 [100.000 0.033 3.583 0.117 0.006 0.077] 9852.582773 
305 2534.985 1418.252 [100.000 0.058 6.368 0.025 0.021 0.047] 9933.756878 
306 1688.229 1418.252 [100.000 0.051 10.855 0.061 0.002 0.070] 10008.088330 
307 1932.719 1418.252 [100.000 0.010 2.802 0.036 0.018 0.017] 10077.906588 
308 1659.723 1418.252 [100.000 0.024 5.823 0.047 0.007 0.035] 10145.166471 
309 1748.636 1418.252 [100.000 0.023 1.511 0.088 0.029 0.028] 10218.848299 
310 1789.627 1418.252 [44.084 0.019 1.895 0.162 0.015 0.025] 10293.527320 
