
[000:02:38]	15253.5418923	[     7.502,     37.237,     12.864,      6.543,      1.992,      4.072]	r

[000:02:38]	19195.674421	[    36.522,     14.414,     36.357,      3.005,      3.867,      0.101]	r

[000:02:39]	3291.42121413	[    77.667,     21.044,      0.228,      2.630,      0.705,      3.418]	rmmmmmmmm

[000:02:42]	3489.03915399	[    77.667,     21.044,      0.228,      4.536,      0.705,      6.805]	rmmmmmmmm

[000:02:42]	6614.83721337	[    82.511,     21.044,      0.542,      4.398,      0.531,      1.443]	cm

[000:02:43]	6254.20079798	[    60.497,     21.044,      0.542,      2.973,      0.531,      1.259]	cm

[000:02:44]	3120.98699828	[    63.897,     22.913,      0.228,      2.965,      0.531,      5.799]	cmmm

[000:02:45]	3086.86423444	[    50.247,     22.913,      0.228,      2.965,      0.531,      5.799]	cmmm

[000:02:46]	3798.32195069	[    77.540,     21.044,      0.542,      1.741,      0.531,      4.239]	c

[000:02:47]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	c

[000:02:49]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	c

[000:02:50]	18938.3160879	[    34.894,     28.815,     13.790,      3.568,      1.015,      3.120]	r

[000:02:51]	18544.0796219	[    25.372,     67.149,     39.023,      2.541,      4.696,      4.489]	r

[000:02:52]	2897.50771819	[    77.667,     17.968,      0.228,      3.597,      0.705,      4.239]	rmmmmmmmm

[000:02:53]	2880.73003915	[    77.667,     23.173,      0.228,      3.597,      0.705,      4.239]	rmmmmmmmm

[000:02:54]	3639.98864909	[    25.969,     21.044,      0.319,      1.693,      0.531,      3.007]	rmmmmmmm

[000:02:56]	3747.60135748	[   100.000,     21.044,      0.158,      3.941,      0.531,      5.931]	rmmmmmmm

[000:02:56]	4254.69391788	[    77.540,     21.044,      0.542,      1.273,      0.531,      4.239]	cm

[000:02:57]	3726.74846547	[    77.540,     21.044,      0.542,      2.089,      0.531,      4.239]	cm

[000:02:58]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	c

[000:02:59]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	c

[000:03:01]	3086.86423444	[    50.247,     22.913,      0.228,      2.965,      0.531,      5.799]	c

[000:03:02]	21682.8541757	[    63.235,     31.618,     45.198,      3.667,      4.788,      2.142]	r

[000:03:03]	10915.1479265	[     1.323,     70.268,      3.836,      7.835,      0.152,      2.285]	r

[000:03:04]	3505.76437606	[    77.667,     21.044,      0.152,      3.597,      0.531,      4.239]	cm

[000:03:06]	2957.35514172	[    77.667,     21.044,      0.299,      3.597,      0.531,      4.239]	cm

[000:03:07]	2909.04982162	[   100.000,     21.044,      0.228,      3.597,      0.531,      4.239]	cm

[000:03:08]	2805.25062188	[    39.231,     21.044,      0.228,      3.597,      0.531,      4.239]	cm

[000:03:10]	2888.19269718	[    77.667,     21.044,      0.228,      3.597,      0.490,      4.239]	rmmmmmmmm

[000:03:11]	2886.58370586	[    77.667,     21.044,      0.228,      3.597,      0.948,      4.239]	rmmmmmmmm

[000:03:12]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	c

[000:03:13]	3726.74846547	[    77.540,     21.044,      0.542,      2.089,      0.531,      4.239]	c

[000:03:13]	3845.6825644	[    25.969,     21.044,      0.542,      1.693,      0.531,      3.007]	c

[000:03:14]	16519.099709	[    34.369,     20.531,      8.635,      0.937,      0.957,      0.215]	r

[000:03:14]	6802.71585357	[    10.791,     21.685,      5.876,      0.594,      4.270,      3.361]	r

[000:03:16]	3029.91258529	[    51.160,     12.439,      0.184,      3.597,      0.531,      3.552]	cmm

[000:03:17]	2988.98403456	[    36.636,     25.264,      0.337,      3.597,      0.531,      5.505]	cmm

[000:03:18]	3631.47310036	[    59.261,     21.044,      0.542,      2.026,      0.586,      4.239]	cm

[000:03:19]	3874.88868422	[   100.000,     21.044,      0.542,      2.586,      0.526,      4.239]	cm

[000:03:20]	2909.74056866	[    77.667,     15.645,      0.228,      3.597,      0.705,      4.239]	rmmmmmmmm

[000:03:21]	2874.34835752	[    77.667,     26.861,      0.228,      3.597,      0.705,      4.239]	rmmmmmmmm

[000:03:23]	2812.77588043	[    39.231,     21.044,      0.228,      3.597,      0.948,      4.239]	c

[000:03:24]	2886.22029759	[    77.667,     21.044,      0.228,      3.597,      0.705,      4.239]	c

[000:03:25]	2880.73003915	[    77.667,     23.173,      0.228,      3.597,      0.705,      4.239]	c

[000:03:26]	20836.0591174	[    43.800,     39.361,     46.687,      2.965,      0.222,      1.266]	r

[000:03:26]	21386.1376599	[    61.566,     84.605,     35.344,      1.007,      4.399,      0.257]	r

[000:03:28]	5162.92926432	[    77.667,     23.173,      0.097,      3.597,      0.705,      4.239]	rmmmmmmmmm

[000:03:29]	3215.73946781	[    77.667,     23.173,      0.359,      3.597,      0.705,      4.239]	rmmmmmmmmm

[000:03:32]	3641.81437152	[    36.636,     25.264,      0.252,      5.021,      0.346,      7.168]	cmmm

[000:03:32]	3153.78569718	[    36.636,     25.264,      0.391,      1.607,      0.786,      4.863]	cmmm

[000:03:34]	2822.16049557	[    39.231,     18.286,      0.228,      3.597,      0.948,      4.239]	cm

[000:03:35]	2802.91536769	[    39.231,     25.682,      0.228,      3.597,      0.948,      4.239]	cm

[000:03:36]	2886.22029759	[    77.667,     21.044,      0.228,      3.597,      0.705,      4.239]	c

[000:03:37]	2803.57583496	[    39.231,     25.264,      0.228,      3.597,      0.948,      4.239]	c

[000:03:39]	2886.22029759	[    77.667,     21.044,      0.228,      3.597,      0.705,      4.239]	c

[000:03:40]	20802.2053715	[    36.432,     53.109,     48.666,      6.822,      2.137,      2.975]	r

[000:03:41]	12238.8073765	[     3.361,     81.139,     27.890,      3.053,      3.060,      3.415]	r

[000:03:43]	2976.40064925	[    50.138,     25.264,      0.259,      4.349,      0.866,      4.239]	cm

[000:03:44]	2828.00428372	[    29.453,     25.264,      0.211,      3.429,      1.088,      4.239]	cm

[000:03:45]	2786.12499838	[    39.231,     21.044,      0.252,      3.597,      0.531,      4.239]	cmm

[000:03:47]	3494.12719924	[    39.231,     21.044,      0.147,      3.597,      0.531,      4.239]	cmm

[000:03:49]	3236.99404186	[    77.667,     23.173,      0.359,      3.597,      0.705,      6.706]	rmmmmmmmmmm

[000:03:50]	3470.08999261	[    77.667,     23.173,      0.359,      3.597,      0.705,      3.307]	rmmmmmmmmmm

[000:03:51]	3092.79288915	[    39.231,     81.139,      0.228,      3.053,      3.060,      3.415]	c

[000:03:52]	3126.03455628	[    39.231,     23.173,      0.359,      3.597,      0.705,      4.239]	c

[000:03:53]	2805.25062188	[    39.231,     21.044,      0.228,      3.597,      0.531,      4.239]	c

[000:03:54]	20608.3906242	[    49.388,      5.638,     84.130,      2.593,      2.042,      3.856]	r

[000:03:56]	19592.1498662	[    51.780,     15.245,     19.357,      8.343,      3.611,      2.330]	r

[000:03:57]	2940.02520842	[    29.453,     39.539,      0.188,      3.429,      1.088,      4.239]	cmm

[000:03:58]	3000.52851438	[    29.453,     23.012,      0.357,      3.429,      1.088,      4.239]	cmm

[000:03:59]	10199.4314833	[    39.231,     21.214,      0.048,      3.057,      0.705,      4.239]	cm

[000:04:01]	3910.85107483	[    39.231,     29.657,      0.379,      4.894,      0.705,      4.239]	cm

[000:04:02]	3722.16207457	[    39.231,     25.682,      0.228,      3.597,      0.948,      1.544]	cmm

[000:04:03]	2960.35195195	[    39.231,     25.682,      0.228,      3.597,      0.948,      5.364]	cmm

[000:04:04]	3094.73789302	[    39.231,     81.139,      0.228,      3.053,      0.948,      3.415]	c

[000:04:05]	2812.77588043	[    39.231,     21.044,      0.228,      3.597,      0.948,      4.239]	c

[000:04:07]	2802.91536769	[    39.231,     25.682,      0.228,      3.597,      0.948,      4.239]	c

[000:04:07]	19270.2398579	[    69.094,     65.042,     67.882,      2.684,      0.123,      0.560]	r

[000:04:08]	19797.0763616	[    38.033,     51.445,     37.988,      2.958,      4.975,      4.755]	r

[000:04:09]	5068.74958878	[    29.453,     39.539,      0.188,      1.486,      1.143,      6.064]	cmmm

[000:04:11]	2827.22762206	[    29.453,     39.539,      0.188,      4.942,      0.876,      3.298]	cmmm

[000:04:12]	2861.1885635	[    39.231,     81.139,      0.228,      3.053,      0.948,      4.787]	cm

[000:04:12]	3755.63295583	[    39.231,     81.139,      0.228,      3.053,      0.948,      2.189]	cm

[000:04:14]	4383.14151655	[    39.231,     25.682,      0.112,      3.597,      0.948,      4.239]	cmm

[000:04:15]	3024.93697837	[    39.231,     25.682,      0.336,      3.597,      0.948,      4.239]	cmm

[000:04:16]	2961.10046064	[    39.231,     81.139,      0.228,      3.597,      0.948,      3.415]	c

[000:04:18]	2960.35195195	[    39.231,     25.682,      0.228,      3.597,      0.948,      5.364]	c

[000:04:19]	2802.91536769	[    39.231,     25.682,      0.228,      3.597,      0.948,      4.239]	c

[000:04:20]	20728.6745667	[    61.970,      7.063,     44.900,      3.846,      0.574,      4.254]	r

[000:04:21]	21742.5450948	[    52.771,     14.620,     64.861,      2.096,      1.505,      4.023]	r

[000:04:22]	2860.54903247	[    29.453,     39.539,      0.188,      5.181,      0.876,      3.298]	cmmmm

[000:04:24]	2805.17899644	[    29.453,     39.539,      0.188,      4.726,      0.876,      3.298]	cmmmm

[000:04:25]	3381.88854223	[    39.231,     81.139,      0.228,      2.166,      0.948,      4.787]	cmm

[000:04:26]	2971.44673527	[    39.231,     81.139,      0.228,      4.550,      0.948,      4.787]	cmm

[000:04:28]	2922.8931236	[    21.985,     25.682,      0.336,      3.597,      0.948,      4.239]	cmmm

[000:04:29]	3037.67112356	[    42.758,     25.682,      0.336,      3.597,      0.948,      4.239]	cmmm

[000:04:30]	2815.88255495	[    39.231,     81.139,      0.228,      3.597,      0.531,      4.239]	c

[000:04:32]	2960.35195195	[    39.231,     25.682,      0.228,      3.597,      0.948,      5.364]	c

[000:04:33]	2802.91536769	[    39.231,     25.682,      0.228,      3.597,      0.948,      4.239]	c

[000:04:34]	15629.2340038	[    58.379,     48.627,      2.454,      6.194,      0.784,      1.268]	r

[000:04:35]	16446.279987	[    11.639,     96.036,     62.271,      8.478,      3.986,      1.404]	r

[000:04:36]	2925.75905069	[    21.985,     25.682,      0.336,      3.597,      1.074,      4.239]	cmmmm

[000:04:37]	2921.14543436	[    21.985,     25.682,      0.336,      3.597,      0.860,      4.239]	cmmmm

[000:04:39]	2811.25682951	[    39.231,     21.044,      0.275,      3.597,      0.531,      4.239]	cmmm

[000:04:40]	3534.08584383	[    39.231,     21.044,      0.145,      3.597,      0.531,      4.239]	cmmm

[000:04:42]	2990.25058573	[    30.438,     39.539,      0.188,      5.829,      0.876,      3.298]	cmmmmm

[000:04:43]	3053.02802453	[    21.829,     39.539,      0.188,      2.932,      0.876,      3.298]	cmmmmm

[000:04:44]	2917.52708166	[    39.231,     81.139,      0.188,      3.597,      0.876,      4.239]	c

[000:04:45]	2960.35195195	[    39.231,     25.682,      0.228,      3.597,      0.948,      5.364]	c

[000:04:47]	2793.56334431	[    39.231,     39.539,      0.252,      3.597,      0.531,      4.239]	c

[000:04:47]	7941.79470348	[     0.702,     14.454,      2.369,      3.371,      4.868,      1.679]	r

[000:04:48]	18701.9226747	[    64.913,     38.450,     11.302,      1.171,      4.476,      1.462]	r

[000:04:49]	3049.4215221	[    30.438,     39.539,      0.188,      5.829,      0.876,      3.665]	cmmmmmm

[000:04:51]	2981.70781909	[    30.438,     39.539,      0.188,      5.829,      0.876,      2.618]	cmmmmmm

[000:04:52]	2825.0447956	[    39.231,     11.838,      0.252,      3.597,      0.300,      3.360]	cmmm

